,scale__biofuel_electricity,scale__hydro_electricity,scale__solar_electricity,scale__wind_electricity,scale__coal_electricity,scale__fossil_electricity,scale__gas_production,scale__greenhouse_gas_emissions,scale__low_carbon_electricity,scale__net_elec_imports,scale__nuclear_electricity,scale__oil_production,remainder__country,remainder__year,remainder__iso_code,remainder__GDP_per_capita
1389,-0.23561391321268338,-0.2209313619755317,-0.1141694525526865,-0.13916823553849894,-0.14963690180635988,-0.14203564411043124,1.0742996923670134,-0.15036790037833514,-0.23898093814578975,0.006243595261622003,-0.19645854896608375,0.6497183704479353,Algeria,2000,DZA,3138.231047505887
3186,-0.20357838794263838,1.5578179126097313,-0.1141694525526865,-0.1379192775913879,-0.1495070533884548,-0.20698471117051614,0.4658474179765534,-0.17957277385179318,0.6406634281387048,-2.123040527765162,-0.19645854896608375,1.9689434367532543,Norway,2000,NOR,67437.743355228
121,-0.20850693029187609,-0.19508510743898913,-0.1141694525526865,-0.13916823553849894,0.2914906359217388,0.18108044163363907,-0.1870630610101884,0.21444491838659635,-0.2248630361668467,-0.7005261610644443,-0.19645854896608375,-0.2848751882599552,Poland,2000,POL,7344.120760595225
2252,7.247145508517439,3.1664335893719273,-0.06971373557768144,0.09355426193986195,6.233289315050132,7.2405083117192195,7.188204768981529,6.984765471509688,6.601823697501971,3.80148500105699,10.305362030784641,4.620600119726076,United States,2000,USA,48746.04096007672
1520,-0.17523926943452167,-0.19019188449275048,-0.1141694525526865,-0.13916823553849894,-0.14827349341835636,-0.2000258825569356,-0.24227582694262953,-0.18464109534051223,-0.21953786261338573,-0.06443338037098462,-0.19645854896608375,-0.2787041871469745,Guatemala,2000,GTM,3195.3943398189313
1335,-0.19988198118071013,-0.22017855844534115,-0.1141694525526865,-0.13916823553849894,-0.14963690180635988,-0.19179679157738405,-0.24227582694262953,-0.17858037523861742,-0.23681371635077655,0.014096592554133851,-0.19645854896608375,-0.29475851772720785,Jamaica,2000,JAM,4920.069867144002
2741,-0.23561391321268338,-0.2209313619755317,-0.1141694525526865,-0.13916823553849894,-0.14963690180635988,-0.20670856717791372,-0.24227582694262953,-0.19144611440228887,-0.23898093814578975,0.014096592554133851,-0.19645854896608375,-0.29475851772720785,Cambodia,2000,KHM,488.0027022891109
1796,-0.23561391321268338,-0.2215586982506905,-0.1141694525526865,-0.13916823553849894,-0.14963690180635988,-0.20784075754758358,-0.24227582694262953,-0.19243851301546464,-0.23929054125936303,0.014096592554133851,-0.19645854896608375,-0.29475851772720785,Kiribati,2000,KIR,1477.0776216100862
2243,-0.22329255733958914,-0.21892388589502354,-0.1141694525526865,-0.13916823553849894,-0.14963690180635988,-0.20320153847186323,-0.24227582694262953,-0.18818537610185423,-0.2365660338599179,0.026437016870938183,-0.19645854896608375,-0.29475851772720785,Nicaragua,2000,NIC,1429.726758571568
1797,-0.23561391321268338,-0.2215586982506905,-0.1141694525526865,-0.13916823553849894,-0.14963690180635988,-0.20778552874906311,-0.24227582694262953,-0.1924030702078512,-0.23929054125936303,0.014096592554133851,-0.19645854896608375,-0.29475851772720785,Nauru,2000,NRU,3328.7989829609505
138,-0.23561391321268338,-0.19345403312357623,-0.1141694525526865,-0.13916823553849894,-0.14963690180635988,-0.2042785000430126,-0.24227582694262953,-0.18907144629218972,-0.22542032177127863,0.04550858172418125,-0.19645854896608375,-0.29475851772720785,Honduras,2000,HND,1768.2518904372646
1330,0.2498475081872291,-0.1576958654395246,-0.1141694525526865,-0.09961790054664871,0.23974604138655675,0.5635122569887052,1.383359364423359,0.4486864339036888,0.3492030570207887,1.6037676159097465,0.9884422436078948,1.490550407023643,United Kingdom,2000,GBR,39187.58308174357
1453,-0.23561391321268338,-0.21666547530445185,-0.1141694525526865,-0.13916823553849894,-0.1403527399261453,-0.19428208751080564,-0.24227582694262953,-0.18052972965735553,-0.2368756369734912,0.21603080864729562,-0.19645854896608375,-0.29475851772720785,Moldova,2000,MDA,1337.860084937703
2534,-0.23561391321268338,-0.04879028807195684,-0.1141694525526865,-0.13916823553849894,-0.14963690180635988,-0.20728846956237879,-0.24165399379316335,-0.19084358667286072,-0.15402584378127288,0.17676582218473638,-0.19645854896608375,-0.29446668713270235,Tajikistan,2000,TJK,430.34216742183344
1536,-0.23438177762537396,-0.20110753568051362,-0.1141694525526865,-0.13916823553849894,-0.14963690180635988,-0.20770268555128238,-0.24227582694262953,-0.1921904133621707,-0.2291355591341584,0.014096592554133851,-0.19645854896608375,-0.29475851772720785,Ethiopia,2000,ETH,258.8705507898301
1849,-0.23561391321268338,-0.2215586982506905,-0.1141694525526865,-0.13916823553849894,-0.14963690180635988,-0.20742654155867998,-0.24227582694262953,-0.19208408493933044,-0.23929054125936303,0.014096592554133851,-0.19645854896608375,-0.29475851772720785,American Samoa,2000,ASM,12943.46728182228
1851,-0.23561391321268338,-0.22017855844534115,-0.1141694525526865,-0.13916823553849894,-0.14963690180635988,-0.20786837194684382,-0.24227582694262953,-0.19247395582307805,-0.23860941440950176,0.02419330335879194,-0.19645854896608375,-0.29475851772720785,Rwanda,2000,RWA,337.45629178113694
2912,-0.23561391321268338,-0.2058752913717205,-0.1141694525526865,-0.13916823553849894,-0.14963690180635988,-0.20088192893400306,-0.24227582694262953,-0.18790183364094687,-0.22015706884053232,-0.03189953444486411,-0.170827024649882,-0.29475851772720785,Armenia,2000,ARM,1249.6121475685682
835,-0.23561391321268338,-0.22143323099565873,-0.1141694525526865,-0.13916823553849894,-0.14963690180635988,-0.20767507115202216,-0.24227582694262953,-0.19229674178501097,-0.23922862063664838,0.014096592554133851,-0.19645854896608375,-0.29475851772720785,Sierra Leone,2000,SLE,403.0941001082112
1236,-0.23438177762537396,-0.2215586982506905,-0.1141694525526865,-0.13916823553849894,-0.14963690180635988,-0.18439613257563967,-0.24227582694262953,-0.17184624179206764,-0.23922862063664838,-0.09023608576066641,-0.19645854896608375,-0.29475851772720785,Estonia,2000,EST,9960.139038774518
1614,-0.23561391321268338,-0.2211822964855952,-0.1141694525526865,-0.13916823553849894,-0.07396773627216326,-0.09721747411106144,-0.24212108505290061,-0.09564420542321475,-0.23910477939121905,-0.14969449383254183,-0.19645854896608375,-0.29469650372587547,Israel,2000,ISR,29321.325400748447
1410,-0.23561391321268338,-0.2215586982506905,-0.1141694525526865,-0.13916823553849894,-0.14963690180635988,-0.2073713127601595,-0.24227582694262953,-0.19201319932410357,-0.23929054125936303,0.03653372767559627,-0.19645854896608375,-0.29475851772720785,Niger,2000,NER,389.0775216531947
1922,-0.22822109968882684,-0.02068562294484255,-0.1141694525526865,-0.13916823553849894,-0.14889027340340558,-0.1982861754035405,-0.23751178265236442,-0.18276262653700098,-0.13978410055690052,0.014096592554133851,-0.19645854896608375,-0.22177290200219474,Peru,2000,PER,3279.3955928057026
1988,-0.23561391321268338,-0.2215586982506905,-0.1141694525526865,-0.13916823553849894,-0.14963690180635988,-0.20761984235350164,-0.24227582694262953,-0.19226129897739752,-0.23929054125936303,0.014096592554133851,-0.19645854896608375,-0.29475851772720785,Saint Kitts and Nevis,2000,KNA,13939.810170204748
294,-0.23561391321268338,-0.20687902941197456,-0.1141694525526865,-0.13916823553849894,-0.1327241453742207,-0.19229385076406835,-0.24227582694262953,-0.17617026432090488,-0.23204582840174753,0.026437016870938183,-0.19645854896608375,-0.29475851772720785,North Macedonia,2000,MKD,3283.377862941814
540,-0.14073947298985784,-0.008013430186634803,-0.1141694525526865,-0.13916823553849894,-0.14791641026911734,-0.08296844409277751,0.01494674484980574,-0.10003911356727883,-0.1267807697868214,0.014096592554133851,-0.19116508198773774,-0.2516624346836093,Pakistan,2000,PAK,948.9385555051717
3223,-0.22945323527613626,-0.21001571078776857,-0.1141694525526865,-0.13916823553849894,-0.14963690180635988,-0.20472033043117643,-0.24056650217923514,-0.1895322027911642,-0.2332842408560408,0.014096592554133851,-0.19645854896608375,-0.2434753705469198,Papua New Guinea,2000,PNG,1999.9780372887947
301,-0.23561391321268338,-0.2215586982506905,-0.1141694525526865,-0.13916823553849894,-0.14963690180635988,-0.20576967760306555,-0.24168694808449448,-0.1905954870195668,-0.23929054125936303,0.014096592554133851,-0.19645854896608375,-0.29358633150594415,Barbados,2000,BRB,16698.06105458248
1934,-0.23561391321268338,-0.1395031134599194,-0.1141694525526865,-0.13916823553849894,-0.14963690180635988,-0.20623912239048964,-0.24227582694262953,-0.19073725825002047,-0.1987944540039738,0.037655584431669394,-0.19645854896608375,-0.289334116551837,Ghana,2000,GHA,1020.1737387428552
3054,-0.23561391321268338,-0.21792014785476949,-0.1141694525526865,-0.13916823553849894,-0.14963690180635988,-0.20786837194684382,-0.24227582694262953,-0.19243851301546464,-0.23749484320063782,0.043264868212035,-0.19645854896608375,-0.10359367083557483,Congo,2000,COG,2057.767151344528
819,-0.23561391321268338,-0.18617693233173416,-0.1141694525526865,-0.13916823553849894,-0.14963690180635988,-0.20422327124449213,-0.24227582694262953,-0.18981574525207157,-0.22182892565382822,0.21490895189122253,-0.19645854896608375,-0.29475851772720785,Latvia,2000,LVA,6725.337540418563
3095,-0.23561391321268338,-0.2215586982506905,-0.1141694525526865,-0.13916823553849894,-0.14963690180635988,-0.20756461355498118,-0.24227582694262953,-0.1921904133621707,-0.23929054125936303,0.014096592554133851,-0.19645854896608375,-0.29475851772720785,Gambia,2000,GMB,667.9655049594724
1261,-0.23561391321268338,-0.05142510042762379,-0.1141694525526865,-0.1333397651186473,-0.14963690180635988,-0.040055667642364255,0.04732791807085593,-0.07285448012778573,-0.1544592881402755,-0.0027312587869629647,-0.19645854896608375,0.2555914248817849,Egypt,2000,EGY,2517.5805056388726
320,-0.23561391321268338,-0.2215586982506905,-0.1141694525526865,-0.13916823553849894,-0.14963690180635988,-0.20759222795424143,-0.24227582694262953,-0.1922258561697841,-0.23929054125936303,0.014096592554133851,-0.19645854896608375,-0.29475851772720785,Maldives,2000,MDV,6904.666350448836
1943,-0.23314964203806451,-0.13398255423852196,-0.1141694525526865,-0.13916823553849894,-0.14963690180635988,-0.20651526638309206,-0.24227582694262953,-0.19066637263479363,-0.19594610535909934,0.05784900604098558,-0.19645854896608375,-0.29475851772720785,Uruguay,2000,URY,10167.721969847178
697,-0.23561391321268338,-0.2115213178481497,-0.1141694525526865,-0.13916823553849894,-0.14963690180635988,-0.20654288078235228,-0.24103216064369715,-0.19119801474899492,-0.23433689144219005,0.014096592554133851,-0.19645854896608375,-0.09933659203822597,Gabon,2000,GAB,7611.835688427322
326,-0.23561391321268338,-0.2215586982506905,-0.1141694525526865,-0.13916823553849894,-0.14963690180635988,-0.2058525208008463,-0.24227582694262953,-0.19066637263479363,-0.23929054125936303,0.014096592554133851,-0.19645854896608375,-0.29475851772720785,Aruba,2000,ABW,29005.933373874726
3096,-0.23314964203806451,-0.22005309119030939,-0.1141694525526865,-0.13833559690709157,-0.14963690180635988,-0.20720562636459808,-0.24227582694262953,-0.19204864213171702,-0.23829981129592845,0.6546768002718859,-0.19645854896608375,-0.29475851772720785,Luxembourg,2000,LUX,92527.71180696423
1953,-0.18016781178375937,-0.20474608607643466,-0.1141694525526865,-0.13916823553849894,0.440102150214125,0.2938024194139394,-0.21663452269643865,0.336545390614828,-0.14764801964166263,0.22837123296409995,-0.015226955839026859,-0.27088434317503773,South Africa,2000,ZAF,4735.665531819573
1604,-0.23561391321268338,-0.2215586982506905,-0.1141694525526865,-0.13916823553849894,-0.14963690180635988,-0.20126853052364643,-0.08444483060023988,-0.1865550069516369,-0.23929054125936303,0.014096592554133851,-0.19645854896608375,-0.16062831264924196,Brunei,2000,BRN,33986.087384311104
363,-0.23561391321268338,-0.2215586982506905,-0.1141694525526865,-0.13916823553849894,-0.14963690180635988,-0.2067637959764342,-0.24227582694262953,-0.1914815572099023,-0.23929054125936303,0.014096592554133851,-0.19645854896608375,-0.29475851772720785,Cayman Islands,2000,CYM,96179.76349915199
2883,-0.23561391321268338,-0.22005309119030939,-0.1141694525526865,-0.13916823553849894,-0.14963690180635988,-0.20712278316681734,-0.24227582694262953,-0.19180054247842307,-0.2385474937867871,0.014096592554133851,-0.19645854896608375,-0.29475851772720785,French Polynesia,2000,PYF,24186.495845590074
1652,-0.23561391321268338,-0.22055496021043644,-0.1141694525526865,-0.13916823553849894,-0.14963690180635988,-0.20781314314832336,-0.24227582694262953,-0.19243851301546464,-0.23879517627764574,0.014096592554133851,-0.19645854896608375,-0.29475851772720785,Central African Republic,2000,CAF,445.80329147632114
3105,-0.13581093064062014,-0.018301745099239135,-0.11054041443227791,-0.1366703196442768,0.382936384231405,0.2920903266598046,0.20464597370469972,0.31719361765790083,-0.13334435579457563,0.014096592554133851,-0.19645854896608375,0.22977900879777408,Australia,2000,AUS,45893.81174773266
865,-0.23561391321268338,-0.2215586982506905,-0.1141694525526865,-0.13916823553849894,-0.14963690180635988,-0.2073713127601595,-0.24227582694262953,-0.19201319932410357,-0.23929054125936303,0.014096592554133851,-0.19645854896608375,-0.29475851772720785,Seychelles,2000,SYC,11178.148585160481
1422,-0.23561391321268338,-0.05155056768265555,-0.1141694525526865,-0.13916823553849894,-0.14301463249319984,-0.20187604730737171,-0.2420738028088168,-0.18506640903187327,-0.15538809748099544,-0.30002329914634,-0.19645854896608375,-0.29322275922362273,Kyrgyzstan,2000,KGZ,718.3373487931657
677,-0.23561391321268338,-0.2215586982506905,-0.1141694525526865,-0.13916823553849894,-0.14963690180635988,-0.20775791434980284,-0.24227582694262953,-0.19236762740023777,-0.23929054125936303,0.014096592554133851,-0.19645854896608375,-0.29475851772720785,Vanuatu,2000,VUT,2731.6058504769967
2073,-0.2097390658791855,-0.18103277487543198,-0.1141694525526865,-0.13916823553849894,-0.1389244073291892,-0.19875562019096457,-0.24227582694262953,-0.18240819846086678,-0.21798984704551919,0.5851216813953524,-0.19645854896608375,-0.29475851772720785,Zimbabwe,2000,ZWE,1676.515461148063
1582,-0.17523926943452167,-0.14765848503698378,-0.1141694525526865,-0.13916823553849894,-0.09445132419669268,0.021745357902053265,0.05710674582455802,-0.020540896090377896,-0.19978518396740838,0.330460197766754,-0.19645854896608375,-0.1939201036782664,Thailand,2000,THA,3511.4421036504073
2068,-0.23561391321268338,-0.2215586982506905,-0.1141694525526865,-0.13916823553849894,-0.14963690180635988,-0.18414760298229751,0.12697700742298776,-0.17755253381782826,-0.23929054125936303,0.014096592554133851,-0.19645854896608375,0.27344051361822697,Qatar,2000,QAT,52157.763347549546
3073,-0.23561391321268338,-0.21265052314343552,-0.1141694525526865,-0.1366703196442768,-0.12389445295667395,-0.17649841438721098,-0.2414992519034344,-0.16085897143190744,-0.234522653310334,0.23846794376875807,-0.19645854896608375,-0.29453356497727656,Morocco,2000,MAR,1678.97912597656
1307,-0.23438177762537396,-0.2215586982506905,-0.1141694525526865,-0.13916823553849894,-0.14963690180635988,-0.20764745675276192,-0.24227582694262953,-0.19226129897739752,-0.23922862063664838,0.014096592554133851,-0.19645854896608375,-0.29475851772720785,Chad,2000,TCD,379.35154556234534
782,-0.23561391321268338,-0.2215586982506905,-0.1141694525526865,-0.13916823553849894,-0.14963690180635988,-0.20275970808369942,-0.24227582694262953,-0.18786639083333348,-0.23929054125936303,0.014096592554133851,-0.19645854896608375,-0.29475851772720785,Guam,2000,GUM,30879.932280594658
934,-0.23314964203806451,-0.18140917664052728,-0.1141694525526865,-0.13916823553849894,-0.14963690180635988,-0.15076179427666714,-0.1653031991646977,-0.14916284491947887,-0.21935210074524175,0.014096592554133851,-0.19645854896608375,0.1025688366920196,Syria,2000,SYR,1273.7837940654088
1302,0.009581068661891705,-0.21980215668024586,-0.11326219302258435,-0.10461373233509294,-0.0708189121379646,0.019922807550877383,0.6369031147096639,-0.014019419489508614,-0.19656531158624596,2.135527718288406,-0.14171295626897895,-0.2569810472684719,Netherlands,2000,NLD,40456.942237447394
1870,0.0699557124400534,0.5912181798450515,-0.11326219302258435,-0.13708663895998052,-0.06198921972041784,-0.06811189729076829,-0.21440222765757153,-0.03875849920367575,2.7514136152361175,-7.780564148641911,5.586793426639523,-0.26853267496764766,France,2000,FRA,33592.466830057296
247,-0.23561391321268338,-0.1804054386002732,-0.1141694525526865,-0.13916823553849894,-0.14963690180635988,-0.20690186797273544,-0.24227582694262953,-0.19133978597944862,-0.21898057700895376,-0.3033888694145594,-0.19645854896608375,-0.29475851772720785,Laos,2000,LAO,917.288738350594
2032,0.47656045625216287,0.18997389825348263,-0.11326219302258435,-0.13833559690709157,-0.09338007474897561,0.1837038095633619,0.23597260960315286,0.14802509691904736,0.08467815678375078,0.11169813033249539,-0.08766387238481439,2.113868941906303,Mexico,2000,MEX,8954.804373338258
373,-0.23314964203806451,-0.21867295138496,-0.1141694525526865,-0.13916823553849894,-0.14963690180635988,-0.20748177035720047,-0.24227582694262953,-0.19208408493933044,-0.23774252569149648,0.014096592554133851,-0.19645854896608375,-0.29475851772720785,Mali,2000,MLI,556.7723921880842
2758,-0.23561391321268338,-0.2215586982506905,-0.1141694525526865,-0.13916823553849894,-0.14963690180635988,-0.20764745675276192,-0.24227582694262953,-0.19226129897739752,-0.23929054125936303,0.055605292528839334,-0.19645854896608375,-0.29420525555845783,Benin,2000,BEN,888.7301846304564
1883,-0.23561391321268338,-0.2215586982506905,-0.1141694525526865,-0.13916823553849894,-0.14963690180635988,-0.19900414978430675,-0.24227582694262953,-0.18449932411005857,-0.23929054125936303,0.014096592554133851,-0.19645854896608375,0.0013437471053583767,Yemen,2000,YEM,2227.6512249240823
554,-0.23561391321268338,-0.20211127372076768,-0.1141694525526865,-0.13916823553849894,-0.14963690180635988,-0.20775791434980284,-0.24227582694262953,-0.1922258561697841,-0.2296928447385904,-0.0038531155430360864,-0.19645854896608375,-0.29475851772720785,Uganda,2000,UGA,508.76199383722803
