,scale__net_elec_imports,scale__per_capita_electricity,scale__biofuel_elec_per_capita,scale__hydro_elec_per_capita,scale__solar_elec_per_capita,scale__wind_elec_per_capita,remainder__country,remainder__year,remainder__GDP_per_capita
893,0.5109733156831324,0.08149506983545114,0.0,0.04755155381295575,0.0,0.0,Bosnia and Herzegovina,2013,4297.474001095523
894,0.5366822267121856,0.1499327299529304,0.0,0.0,0.0,0.0,Brunei,2004,34750.851654169324
895,0.5366822267121856,0.018518470873976314,0.0,0.015512458572351588,0.0,0.0,Gabon,2003,7322.606116154848
896,0.530969135372396,0.005507988419415756,0.0,0.0017000991306052994,0.0,0.0,Cote d'Ivoire,2013,1739.1551890004393
897,0.5366822267121856,0.3338341022731686,0.0,0.0,0.0,0.0,Bahrain,2003,22348.90480943483
898,0.5341043684247195,0.04023122047749997,0.0,0.003673317361824211,0.0,0.0,Azerbaijan,2013,5425.905292082845
899,0.5366822267121856,0.010088780108958658,0.0,0.006343003714760927,0.0,0.0,Samoa,2006,3787.2721164985355
900,0.5366822267121856,0.12346275765675663,0.0,0.0,0.0,0.0,United States Virgin Islands,2013,34663.6460602129
901,0.3491952901832369,0.08341188025614427,0.036077807792656104,0.07550786926811168,0.0026022768767130886,0.0,Laos,2018,2467.9557615097433
902,0.5366822267121856,0.0020469309287777715,0.0,0.0001788199741262417,0.0,0.0,Bangladesh,2001,666.0681153554888
903,0.5366822267121856,0.0004977849556303869,0.0,0.0007687120639719507,0.0,0.0,Central African Republic,2007,459.7460647981616
904,0.8234515432313801,0.03829735200536779,0.031653473269218364,0.04393798726070456,0.0,0.0004561339792180909,Brazil,2006,7534.551559114264
905,0.5374486170138647,0.02817257024445668,0.007282892103229346,0.028843784355364083,0.0003753195069078203,0.0002914089623328795,Colombia,2018,6320.7620843683835
906,0.6637636730997003,0.1058942510771772,0.15070421512279922,0.00015666868887239315,0.02247017550346893,0.11978666854240252,Netherlands,2013,44055.304259047305
907,0.5366822267121856,0.04409631412866945,0.0,0.0,0.0,0.0,Nauru,2018,7515.934788528091
908,0.536473211175364,0.0019263615197426859,3.375071720274056e-05,0.0011140991320948651,0.0,0.0,Nigeria,2001,1508.5538948699998
909,0.5644812931094544,0.06998199529719391,0.06637356233693385,0.0005024641863329598,0.0,0.003931508845266865,Hungary,2007,11792.771289739174
910,0.5366822267121856,0.000818539761718758,0.0,0.0,0.0,0.0,Comoros,2001,1205.5091091230538
911,0.5366822267121856,0.0010863758400473566,0.0,0.0,0.0,0.0,Comoros,2014,1336.489621873237
912,0.5371002577858287,0.03596984432554403,0.009265639932823255,0.026443757466298512,0.0,0.0,Panama,2011,11248.003416461775
913,0.5366125548665783,0.3464302925899895,0.0,0.0,0.006786257389680563,0.0,Bahrain,2015,22795.4488576612
914,0.5370305859402216,0.001101019683793068,0.002107497315963534,0.0014778895456672892,0.0,0.0,Tanzania,2000,551.656616210938
915,0.5519403609001602,0.013658723653152299,0.0,0.014478291464160796,0.13741501000697948,0.002883584990572274,Namibia,2020,4155.132717755722
916,0.5653173552567408,0.091517485665774,0.0724662076284311,0.004527967763489238,0.06969017652034445,0.05410947646154873,Luxembourg,2012,104487.74423870388
917,0.5366822267121856,0.003213909586265421,0.0,0.0,0.0,0.0,Yemen,2003,2300.76292164117
918,0.5453215355674772,0.05152363290819547,0.024683309330449855,0.03342986921107573,0.0,0.012095266326976647,Latvia,2011,11450.976798371643
919,0.5022643349822337,0.06655716854390993,0.0,0.004663181899507307,0.0,0.00022609316043068235,Ukraine,2003,1833.31384277344
920,0.6260712046262105,0.26608503762886315,0.2150065942065826,0.14353749346483027,0.0,0.027231665100762185,Sweden,2003,43194.92616840472
921,0.5435100675816902,0.03004479712161594,0.00032426321970734285,0.01489861330311533,9.983868656661228e-05,0.0007005299193026856,Vietnam,2015,2595.2349787073695
922,0.5366822267121856,0.022544981623473966,0.0,0.006629360730965505,0.0,0.0,Saint Vincent and the Grenadines,2011,6714.229337808212
923,0.5366822267121856,0.07724935960057094,0.0,0.0,0.0,0.07505718721446766,Saint Kitts and Nevis,2016,20813.946620150273
924,0.5382150073155437,0.023269737346185895,0.0,0.0,0.0,0.0,Mongolia,2006,2197.694746147247
925,0.5366822267121856,0.07748967018680471,0.0,0.0,0.0,0.07529009905751452,Saint Kitts and Nevis,2020,18948.38650211812
926,0.5366822267121856,0.009386650975139018,0.001016366534497719,0.0037265813525051024,0.0008800595334390268,0.002561312517450444,Sri Lanka,2012,3613.9558878296407
927,0.7653452239949836,0.23663425895348575,0.07690720389833601,0.019533325275262754,0.0026004280121470404,0.06499137616088072,United States,2008,53854.16061165778
928,0.23158921479829997,0.16282061647374976,0.0,0.22218471879892368,0.0,0.0,Paraguay,2005,4171.245169631258
929,0.5366822267121856,0.05297478319533816,0.0,0.0,0.0,0.0,Barbados,2001,16258.842175575564
930,0.5269281683271789,0.11658008060845648,0.0,3.85124840150968e-05,0.0,0.0005752814859847363,Israel,2001,28733.941260550106
931,0.5162683759492789,0.012261232215835948,0.0007190184436988907,0.016825462791883124,0.0,0.0,Mozambique,2011,510.51440383517604
932,0.5366822267121856,0.03372408489016836,0.12016921498822357,0.0022526079234282447,0.0,0.0,Mauritius,2009,7693.764343538743
933,0.5366822267121856,0.0017996596707274464,0.0,0.0,0.0,0.0,Kiribati,2001,1427.9466972879966
934,0.5366822267121856,0.0010662868125261642,0.0,0.0,0.0,0.0,Comoros,2004,1209.8630416080737
935,0.5366822267121856,0.000910015324756047,0.0,0.0008081134824278203,0.0,0.0,Madagascar,2008,500.782478266772
