Country;Product;Flow;NoCountry;NoProduct;NoFlow;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021 Provisional
Australia;Crude, NGL and feedstocks;Transport (PJ);01. Australia;02. Crude, NGL and feedstocks;09. Transport (PJ);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;..
Australia;Crude, NGL and feedstocks;Residential (PJ);01. Australia;02. Crude, NGL and feedstocks;10. Residential (PJ);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;..
Australia;Crude, NGL and feedstocks;Commercial and public services (PJ);01. Australia;02. Crude, NGL and feedstocks;11. Commercial and public services (PJ);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;..
Australia;Crude, NGL and feedstocks;Other final consumption (PJ);01. Australia;02. Crude, NGL and feedstocks;12. Other final consumption (PJ);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;..
Australia;Oil products;Production (PJ);01. Australia;03. Oil products;01. Production (PJ);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Australia;Oil products;Imports (PJ);01. Australia;03. Oil products;02. Imports (PJ);135,1440006;143,3773009;153,1576992;182,7460995;134,9200989;152,5442995;154,1485013;147,5972018;164,394501;176,9030015;156,1165987;110,589302;103,2166989;94,5269997;104,0734982;110,4962002;156,3953014;128,6606989;156,2195982;175,3407012;116,0195021;93,19290101;120,0214004;123,2943015;136,0959994;137,3217981;159,7783991;125,6014;152,7927987;170,3273013;177,1483982;171,2831017;204,3055991;376,5829988;406,8969004;500,6274995;459,9131011;602,4046008;653,0699007;667,4530995;622,4009543;761,8342604;841,6573525;868,6222955;967,4759888;1147,365259;1198,718839;1281,437384;1272,134528;1275,976503;1276,431562
Australia;Oil products;Exports (PJ);01. Australia;03. Oil products;03. Exports (PJ);-80,62380084;-85,498199;-140,9601985;-114,7056005;-135,8091994;-134,9013002;-144,278899;-161,873499;-148,8674015;-141,5535016;-138,4966016;-137,0135994;-147,3239;-178,6904008;-147,8901019;-164,0712005;-153,0221013;-174,8473999;-154,5235004;-144,2978987;-150,3240981;-138,4729002;-135,2268993;-124,0028002;-119,5989984;-146,7588998;-181,941899;-176,4135017;-148,8414015;-144,9950009;-161,3496005;-204,427502;-191,8516987;-161,6389;-138,0068005;-146,8451981;-134,2536985;-130,8551013;-106,5075991;-102,0597982;-92,11741676;-97,79513205;-95,90472067;-87,33971692;-79,65037402;-74,43139384;-95,65978869;-95,95512556;-110,8984553;-164,7967981;-148,8881011
Australia;Oil products;Total energy supply (PJ);01. Australia;03. Oil products;04. Total energy supply (PJ);-40,37049887;-27,80829855;-91,3751013;-32,35090118;-92,7563015;-72,66960096;-88,49680191;-63,99499935;-73,47710071;-66,19370156;-74,62829905;-79,57610019;-128,7264987;-116,4085019;-110,2522018;-102,013601;-81,36789987;-111,0300004;-81,16389804;-78,42140168;-121,0487993;-129,0729983;-125,2968982;-99,91709859;-114,3962002;-114,885298;-152,9898002;-186,0492;-128,4868002;-101,5188008;-130,837299;-146,8242013;-100,0527007;67,80260088;123,1093999;184,8685015;162,0413017;310,3152997;375,4347019;406,3408012;367,9481843;477,2546508;565,1096331;601,8762978;694,8033077;854,9474238;906,4376615;922,0233678;903,9635014;946,3851596;1040,481451
Australia;Oil products;Electricity, CHP and heat plants (PJ);01. Australia;03. Oil products;05. Electricity, CHP and heat plants (PJ);-15,76199991;-17,4659982;-18,06239948;-48,52139879;-46,51919986;-47,92499751;-49,50119791;-55,16700176;-56,57279941;-48,22320234;-46,859997;-51,16260389;-45,28380078;-44,09100239;-39,06419634;-33,82439939;-25,38959675;-20,02199773;-26,58239932;-39,61800112;-40,51259886;-28,3289983;-28,75499683;-29,13839885;-33,1854016;-31,35360124;-24,75059896;-24,87840103;-21,04440173;-21,98160016;-25,21920236;-23,85600121;-26,83799927;-33,14280091;-34,50600206;-36,93419952;-35,44320049;-50,22540127;-37,68940194;-58,3487981;-55,76059789;-35,72619886;-62,55579941;-46,33199965;-57,11079902;-51,17539875;-50,75040087;-47,65419947;-48,31079856;-43,19216342;..
Australia;Oil products;Oil refineries, transformation (PJ);01. Australia;03. Oil products;06. Oil refineries, transformation (PJ);947,5769992;930,5624009;1094,6714;1244,361499;1253,876898;1304,850602;1322,806502;1316,201201;1322,736;1267,083501;1235,134399;1254,869099;1207,3251;1212,149202;1213,525801;1178,501;1186,705202;1267,934699;1301,917698;1342,311501;1377,686101;1394,6082;1456,268799;1481,420301;1520,586299;1580,1374;1597,0312;1617,1429;1587,262299;1601,7403;1543,8167;1535,5601;1526,647199;1494,685498;1439,4075;1326,886199;1355,306801;1374,931601;1371,6242;1346,987901;1420,032057;1352,259434;1358,404756;1262,57935;1124,67395;956,7972665;925,0488416;966,8842809;1030,321259;921,0044807;..
Australia;Oil products;Total final consumption (PJ);01. Australia;03. Oil products;07. Total final consumption (PJ);937,330698;931,2652013;1015,895401;1012,052199;1019,5915;1030,481501;1090,2048;1114,3994;1129,963499;1127,064299;1085,701901;1078,239399;1014,073599;1061,063902;1067,253102;1083,395502;1088,330399;1148,9335;1191,422001;1213,9251;1181,902201;1204,1668;1236,888702;1267,2209;1314,4291;1360,9804;1379,272098;1386,1219;1406,1894;1453,500499;1438,847599;1417,203602;1479,100299;1525,625201;1529,762601;1556,300499;1583,2073;1618,517201;1597,579399;1632,1433;1725,930827;1783,588364;1801,225347;1803,66008;1779,323627;1800,352642;1817,485827;1863,198051;1845,800976;1747,714065;..
Australia;Oil products;Industry (PJ);01. Australia;03. Oil products;08. Industry (PJ);254,5653991;237,3431983;233,3422001;265,4561996;246,5181016;241,8767993;252,9338994;241,5007995;242,5627981;225,2184013;190,6525992;165,893501;131,0394001;135,0993986;114,9762981;105,832398;105,3384017;114,2301014;120,2511008;120,820401;112,9351996;112,3721001;115,8071015;120,0302011;123,5557002;131,9905991;135,1736013;135,416599;138,1090003;148,5295017;142,2640015;117,256601;128,673498;126,1725005;128,7609016;132,7270991;127,4835006;143,7888006;136,1320017;132,1339008;164,5461469;187,1957887;192,9932507;188,6892328;161,8211263;157,250313;157,4334897;169,922107;175,2904178;180,6910632;..
Australia;Oil products;Transport (PJ);01. Australia;03. Oil products;09. Transport (PJ);468,3260989;485,584101;538,1507985;554,3188008;576,7201989;595,6514012;633,7610993;668,1347984;684,4954982;701,0462996;712,9268009;729,7904986;721,3598996;748,6761989;770,4800987;791,3135987;803,7513004;835,3726014;861,2009999;873,9047015;850,4817996;871,5627982;886,6851011;910,0799012;947,6653993;982,0137014;1000,251101;1000,480801;1019,322599;1049,362399;1038,0371;1065,1844;1067,011201;1106,1219;1100,326201;1129,1206;1157,691901;1179,485199;1173,258;1219,251899;1250,642449;1259,287889;1280,887624;1282,244465;1310,833464;1325,306055;1343,356501;1371,556157;1368,530067;1273,536482;..
Australia;Oil products;Residential (PJ);01. Australia;03. Oil products;10. Residential (PJ);32,3036992;32,7756018;32,99009994;42,16980129;47,66160173;46,73729864;50,68949968;46,29989946;44,89410181;32,82390073;24,54689858;22,68479834;19,81290056;18,46529943;18,50970045;16,90500049;16,95329942;15,64289801;15,28589794;15,83430175;15,63990026;16,04009972;17,02200062;15,5780989;15,32130152;15,04709962;15,14849973;14,78279949;14,06879937;14,63969886;14,22510099;14,20199823;15,07889836;13,64460117;12,28649954;11,01390075;13,30349838;11,97300033;15,7037992;15,32220169;16,03921212;15,72379954;16,07130394;15,82709627;15,40681273;16,88403718;14,84347879;14,94221609;15,4096765;14,88120604;..
Australia;Oil products;Commercial and public services (PJ);01. Australia;03. Oil products;11. Commercial and public services (PJ);5,111999064;4,898999801;4,686000538;28,2177006;27,55140069;26,42160108;25,20629864;23,41709897;22,19699846;21,21600191;17,88299929;15,45570199;12,48389879;10,56000139;9,965999138;10,05900053;9,711299347;10,14119997;10,44269981;10,73430206;10,76999872;11,81790033;12,347698;11,9097001;12,0203991;12,22139899;12,11370193;12,39989902;12,69150127;13,09770042;13,08060153;19,8945013;18,95549835;20,71379944;20,64390081;23,79119792;24,47310204;25,24410126;26,02140161;26,14409997;27,9665554;30,10642051;31,18570218;32,25004117;32,66380587;29,82847141;30,9134597;30,7162991;26,97511697;27,22972884;..
Australia;Oil products;Other final consumption (PJ);01. Australia;03. Oil products;12. Other final consumption (PJ);177,0235018;170,6633046;206,7263022;121,8897013;121,1401971;119,7943963;127,6140031;135,0467999;135,814098;146,7596994;139,6926029;144,414903;129,3775;148,2629993;153,3210012;159,2854997;152,5761025;173,5466993;184,2413021;192,6314023;192,0753031;192,3738973;205,0267963;209,6229984;215,8663001;219,7076012;216,5851988;223,041797;221,9975003;227,8711997;231,2407991;200,6661018;249,3811987;258,9723997;267,745098;259,647697;260,2553022;258,0260991;246,4642007;239,2911991;266,7364602;291,2744702;280,087462;284,6492444;258,5984179;271,0837654;270,9388979;276,0612719;259,595697;251,3755892;..
Australia;Natural gas;Production (PJ);01. Australia;04. Natural gas;01. Production (PJ);75,06450081;108,141301;141,5798993;162,1349981;175,484702;187,6185006;236,5289997;256,1040021;290,8683004;312,6293985;365,6097016;403,2225019;421,6265987;441,0657017;470,5667989;513,9828012;530,0352017;549,4293009;564,9930014;717,6059979;746,3304018;812,349899;873,7775986;941,5197003;1046,647799;1074,178802;1069,871401;1112,045401;1151,5068;1194,923702;1219,088702;1270,281601;1239,768902;1247,336999;1312,752601;1510,317;1602,307799;1669,4406;1749,736801;1862,279098;1994,7996;1910,5767;2260,665901;2320,799402;2435,706898;2894,437429;3696,081835;4236,880232;4938,28501;5331,215143;5137,260314
Australia;Natural gas;Imports (PJ);01. Australia;04. Natural gas;02. Imports (PJ);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;36,72719994;164,5604993;155,4498006;183,2075979;159,9840003;185,0148009;164,7531005;184,7492991;196,6914009;180,6749984;203,7968987;185,8670994;167,8634993;181,7820009;161,767799;186,8156984
Australia;Natural gas;Exports (PJ);01. Australia;04. Natural gas;03. Exports (PJ);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-98,37000062;-166,5000009;-211,8600014;-248,9453989;-288,6633012;-345,6413996;-370,4849999;-361,169998;-374,5359006;-382,8293988;-387,9242989;-368,6733004;-372,078898;-383,1821995;-387,4625996;-518,4314981;-588,9510014;-701,7084001;-669,6855012;-755,6390985;-875,9997009;-978,5384983;-925,032601;-1152,378902;-1139,777998;-1229,367601;-1821,708948;-2572,236097;-3041,974161;-3686,090912;-3904,713776;-3816,568833
Australia;Natural gas;Total energy supply (PJ);01. Australia;04. Natural gas;04. Total energy supply (PJ);75,06450081;108,141301;141,5798993;162,1349981;175,484702;187,6185006;236,5289997;256,1040021;290,8683004;312,6293985;365,6097016;403,2225019;421,6265987;441,0657017;470,5667989;513,9828012;530,0352017;549,4293009;564,9930014;619,2360015;579,8304009;600,4899018;624,8321998;652,856399;701,0063994;703,6938016;708,7013986;737,5095008;768,6774008;806,9993989;850,4154012;898,202699;856,5866983;859,8743998;794,3210986;958,0931983;1065,159898;1155,204899;1177,3053;1146,263402;1201,275898;1150,297199;1293,036298;1377,7128;1387,0143;1276,52538;1309,712838;1362,769571;1433,976099;1588,26917;1507,50718
Australia;Natural gas;Electricity, CHP and heat plants (PJ);01. Australia;04. Natural gas;05. Electricity, CHP and heat plants (PJ);-21,52350144;-26,27100188;-33,01290125;-29,99070154;-28,70189983;-33,72840025;-44,4104971;-48,06270136;-56,00519912;-64,12229901;-89,24489933;-109,4975981;-98,56259761;-111,6270004;-99,90810115;-120,9149975;-116,0990973;-125,7984015;-129,2391012;-145,3302003;-109,3239003;-118,7523018;-122,7294017;-131,6808011;-149,0957999;-133,2378008;-129,7242006;-139,5855004;-161,523001;-169,9938017;-184,7781001;-320,7564002;-203,6277017;-218,6748014;-226,3689005;-215,9694001;-302,1381025;-333,7938023;-385,3350018;-408,7376981;-422,0378973;-463,1273996;-465,733804;-477,7434011;-497,7198004;-503,2025992;-502,6643987;-515,052001;-511,0541974;-529,2855301;..
Australia;Natural gas;Oil refineries, transformation (PJ);01. Australia;04. Natural gas;06. Oil refineries, transformation (PJ);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;..
Australia;Natural gas;Total final consumption (PJ);01. Australia;04. Natural gas;07. Total final consumption (PJ);42,23789959;70,18829813;88,45739993;102,6036007;115,1495981;126,0252005;145,7289009;162,6767993;181,1097013;210,5055005;228,6197995;238,0203001;248,0435998;255,2543998;287,2124996;306,9171003;325,8531007;331,065001;342,3267017;362,378702;364,6935;371,6684995;380,690999;398,2949983;418,3019989;424,6478982;431,7416981;445,6547988;455,348702;476,8451985;503,1171006;494,6408989;529,3071005;539,1225004;516,2391012;516,2598007;536,2839002;538,882199;505,9863021;515,150102;522,0324015;522,3410984;544,4873989;558,9144;550,2752982;564,1300558;553,3053984;556,9181965;549,0139033;558,1895435;..
